month,ttf,brent,import_price_gas,coal_price,des_heating,heating,des_storage,storage,des_demand,demand
2015-05,20.41790476190476,65.60099999999998,6.684,57.8525,6466.516179358836,3384.07,56198.44925649742,31864.0,12102.404221037938,1412.0
2015-06,20.283045454545455,63.70409090909091,6.6667,58.50454545454545,6535.3749242250815,1667.9,53679.99353122269,39757.0,11844.06203126937,-465.0
2015-07,20.754695652173915,56.62181818181818,6.694,58.25238095238095,7061.143578533736,1733.6000000000006,52217.249719714746,49218.0,8125.869384083217,-3552.0
2015-08,19.458142857142857,48.21952380952381,6.3457,55.459523809523795,6596.647719254124,1432.1800000000005,53549.04533876237,61066.0,8472.871747178453,-3014.0
2015-09,19.092045454545453,48.43333333333334,6.2787,53.17380952380952,6424.151929418958,2465.64,69250.42153519094,89776.0,7886.31959241655,-27.0
2015-10,18.305636363636363,49.21409090909091,6.027,51.29318181818181,6728.417468948874,5891.149999999999,71420.49139828618,98957.0,10183.858229321315,7910.0
2015-11,17.491285714285713,45.907,5.5008,51.46500000000001,4729.183941018471,7376.36,72879.83242658427,101560.0,8657.435094234179,16147.0
2015-12,15.994999999999997,38.90954545454545,5.0928,46.90909090909091,3977.6062960245754,9600.55,76232.00544550284,97744.0,7512.950410084994,20915.0
2016-01,13.818450000000002,32.2121052631579,4.3982,45.47368421052632,6673.083967750999,13370.3,82634.3142068604,89877.0,11386.600006068875,32268.0
2016-02,12.19957142857143,33.5565,3.9684,44.12750000000001,4478.5779705537525,9369.62,82681.29381796546,70780.0,10003.33780909918,24343.0
2016-03,12.003727272727275,39.751363636363635,3.9102,45.20909090909092,6052.029909864442,9449.7,84479.83781448717,58405.0,13424.644351712812,19751.0
2016-04,11.954333333333333,43.38666666666666,3.9701,45.578571428571436,5942.666115048146,5924.33,82140.06550892553,48359.0,12575.647123493116,6488.0
2016-05,13.06,47.73904761904763,4.3292,48.35476190476192,5932.786179358835,2850.34,77154.44925649742,52820.0,11073.404221037938,383.0
2016-06,14.45513636363636,49.92681818181818,4.7557,53.36136363636363,6124.724924225081,1257.25,77419.99353122269,63497.0,8667.06203126937,-3642.0
2016-07,14.434523809523807,46.33100000000001,4.6747,59.3325,6379.953578533736,1052.41,79124.24971971475,76125.0,8163.869384083217,-3514.0
2016-08,12.385652173913046,47.172608695652166,4.0475,60.8304347826087,6315.687719254124,1151.22,82027.04533876237,89544.0,11498.871747178453,12.0
2016-09,13.025318181818182,47.298095238095236,4.2536,65.02380952380952,5650.381929418959,1691.87,78711.42153519094,99237.0,11038.31959241655,3125.0
2016-10,16.52247619047619,51.2105,5.3368,78.93333333333334,7022.987468948873,6185.719999999998,78272.49139828618,105809.0,12832.858229321315,10559.0
2016-11,17.97340909090909,47.10850000000001,5.6932,84.47380952380952,6715.493941018473,9362.670000000002,77750.83242658427,106431.0,15757.435094234179,23247.0
2016-12,17.571599999999997,54.71761904761905,5.4235,79.97380952380952,6035.1562960245765,11658.1,73474.00544550284,94986.0,16765.950410084995,30168.0
2017-01,19.732772727272728,55.427,6.1444,83.49444444444445,7666.933967750998,14364.149999999998,80900.3142068604,88143.0,16717.600006068875,37599.0
2017-02,19.402549999999998,55.926842105263155,6.0516,78.86842105263156,5224.557970553752,10115.6,75517.29381796546,63616.0,8671.33780909918,23011.0
2017-03,15.969695652173913,52.50565217391304,5.0009,71.9891304347826,4642.3499098644415,8040.02,78378.83781448717,52304.0,9142.644351712812,15469.0
2017-04,15.957684210526315,53.79842105263158,5.0109,74.63684210526317,6750.116115048146,6731.78,82577.06550892553,48796.0,13275.647123493116,7188.0
2017-05,15.618,51.39857142857144,5.0584,74.19999999999997,6114.496179358835,3032.05,76574.44925649742,52240.0,10949.404221037938,259.0
2017-06,14.84890909090909,47.53999999999999,4.8868,78.2727272727273,6301.434924225081,1433.96,75871.99353122269,61949.0,10420.06203126937,-1889.0
2017-07,14.838809523809527,49.09631578947369,5.0039,82.405,6579.283578533736,1251.74,75292.24971971475,72293.0,8804.869384083217,-2873.0
2017-08,15.826173913043482,51.906956521739126,5.4766,85.52391304347827,6711.087719254124,1546.62,76437.04533876237,83954.0,6824.871747178453,-4662.0
2017-09,17.083,55.65199999999999,5.9611,90.91750000000002,6586.811929418959,2628.3,77399.42153519094,97925.0,9537.31959241655,1624.0
2017-10,17.94018181818182,57.71000000000001,6.1763,91.775,5811.467468948875,4974.2,77836.49139828618,105373.0,8260.858229321315,5987.0
2017-11,19.458636363636362,62.82199999999999,6.6946,92.09047619047621,6058.123941018471,8705.3,82285.83242658427,110966.0,13117.435094234179,20607.0
2017-12,20.5774,64.06649999999999,7.1389,94.1975,5562.726296024582,11185.670000000006,79450.00544550284,100962.0,13261.950410084994,26664.0
2018-01,18.644590909090912,69.02238095238094,6.6623,93.09210526315788,4659.933967751,11357.15,73737.3142068604,80980.0,6561.600006068875,27443.0
2018-02,18.468200000000003,65.70368421052632,6.7188,83.93157894736842,7616.887970553752,12507.93,76662.29381796546,64761.0,17124.33780909918,31464.0
2018-03,18.516809523809528,66.8090476190476,6.6974,80.27857142857144,7831.5999098644415,11229.27,69399.83781448717,43325.0,16619.644351712814,22946.0
2018-04,19.249904761904762,72.0695,6.9279,82.85952380952384,4374.716115048147,4356.380000000001,65151.06550892553,31370.0,7843.647123493117,1756.0
2018-05,21.603999999999996,77.17681818181818,7.4874,90.81136363636362,4742.646179358835,1660.1999999999994,63674.44925649742,39340.0,8030.4042210379375,-2660.0
