,month,ttf,brent,coal_price,exchange_rate,des_heating,heating,des_storage,storage,WTI_oil
14,2015-04,21.408285714285714,60.96523809523811,58.771428571428594,1.0796655904163013,129.49262739683638,129.110625,656.6306550892554,318.82,56.24428571428571
15,2015-05,20.41790476190476,65.60099999999998,57.8525,1.1165892566953386,134.71908706997573,70.50145833333333,561.9844925649742,318.64,60.20428571428571
16,2015-06,20.28304545454545,63.70409090909091,58.50454545454545,1.121451047333804,136.15364425468917,34.74791666666666,536.7999353122269,397.57,60.25045454545455
17,2015-07,20.754695652173915,56.62181818181818,58.25238095238095,1.0998873192331065,147.10715788611944,36.11666666666667,522.1724971971474,492.18,51.57869565217392
18,2015-08,19.458142857142857,48.21952380952381,55.4595238095238,1.1136188052949452,137.43016081779427,29.83708333333334,535.4904533876237,610.66,43.56380952380953
19,2015-09,19.092045454545453,48.43333333333334,53.17380952380952,1.1235178329727866,133.83649852956168,51.3675,692.5042153519094,897.76,45.955454545454536
20,2015-10,18.305636363636363,49.21409090909091,51.29318181818181,1.1229816566814077,140.17536393643488,122.73229166666664,714.2049139828617,989.57,46.98863636363637
21,2015-11,17.491285714285713,45.907,51.46500000000001,1.0749225275857108,98.52466543788478,153.67416666666662,728.7983242658427,1015.6,44.22904761904762
22,2015-12,15.994999999999996,38.90954545454545,46.90909090909091,1.0884909318841025,82.8667978338454,200.01145833333337,762.3200544550284,977.44,38.7
23,2016-01,13.818450000000002,32.2121052631579,45.47368421052632,1.086736031941005,139.0225826614792,278.54791666666665,826.343142068604,898.77,33.0095
24,2016-02,12.19957142857143,33.5565,44.12750000000001,1.109918963341486,93.30370771986983,195.20041666666663,826.8129381796546,707.8,32.69476190476191
25,2016-03,12.003727272727277,39.75136363636364,45.20909090909092,1.1119846053745437,126.08395645550918,196.86875,844.7983781448717,584.05,39.58045454545454
26,2016-04,11.954333333333333,43.38666666666666,45.57857142857144,1.133916043099903,123.80554406350304,123.42354166666668,821.4006550892553,483.59,42.36809523809524
27,2016-05,13.06,47.73904761904763,48.35476190476192,1.131402546709234,123.59971206997572,59.38208333333333,771.5444925649742,528.2,47.55272727272727
28,2016-06,14.45513636363636,49.92681818181818,53.36136363636363,1.124357125975869,127.59843592135584,26.19270833333333,774.1999353122269,634.97,49.52318181818183
29,2016-07,14.434523809523808,46.33100000000001,59.3325,1.1060816163108462,132.91569955278612,21.92520833333333,791.2424971971475,761.25,45.77666666666667
30,2016-08,12.385652173913046,47.172608695652166,60.8304347826087,1.1206496435662974,131.57682748446095,23.98375,820.2704533876237,895.44,45.54086956521739
31,2016-09,13.025318181818182,47.29809523809524,65.02380952380952,1.1213137615810742,117.71629019622834,35.24729166666667,787.1142153519094,992.37,45.873636363636365
32,2016-10,16.52247619047619,51.2105,78.93333333333334,1.1037062860670543,146.31223893643488,128.86916666666664,782.7249139828617,1058.09,50.49285714285714
33,2016-11,17.97340909090909,47.10850000000001,84.47380952380952,1.0804159966382114,139.9061237712182,195.05562500000005,777.5083242658427,1064.31,46.64863636363636
34,2016-12,17.571599999999997,54.71761904761905,79.97380952380952,1.0542205463756211,125.73242283384536,242.87708333333333,734.7400544550285,949.86,53.22571428571429
35,2017-01,19.732772727272728,55.427,83.49444444444445,1.0621723911978982,159.72779099481244,299.2531249999999,809.0031420686041,881.43,53.51181818181818
36,2017-02,19.40255,55.92684210526316,78.86842105263156,1.0650880992412568,108.84495771986984,210.74166666666667,755.1729381796546,636.16,53.98350000000001
37,2017-03,15.969695652173913,52.50565217391304,71.9891304347826,1.0687780276588772,96.71562312217584,167.50041666666667,783.7883781448717,523.04,50.26304347826088
38,2017-04,15.957684210526317,53.79842105263158,74.63684210526317,1.0713409781455994,140.62741906350303,140.24541666666667,825.7706550892553,487.96,51.55526315789474
39,2017-05,15.618,51.39857142857144,74.19999999999997,1.1041413752929023,127.38533706997572,63.16770833333334,765.7444925649742,522.4,48.946521739130446
40,2017-06,14.84890909090909,47.53999999999999,78.2727272727273,1.122866240414706,131.2798942546892,29.87416666666667,758.7199353122269,619.49,45.45136363636364
